Country,Case def,Total cases,Date,,,,,
Guinea,All,54,2014-09-07,,,,,
Guinea,Confirmed,45,2014-09-07,,,,,
Guinea,Probable,8,2014-09-07,,,,,
Guinea,Suspected,1,2014-09-07,,,,,
Liberia,All,162,2014-09-07,,,,,
Liberia,Probable,80,2014-09-07,,,,,
Liberia,Confirmed,63,2014-09-07,,,,,
Liberia,Suspected,19,2014-09-07,,,,,
Sierra Leone,All,74,2014-09-07,,,,,
Sierra Leone,Confirmed,71,2014-09-07,,,,,
Sierra Leone,Suspected,2,2014-09-07,,,,,
Sierra Leone,Probable,1,2014-09-07,,,,,
Guinea,All,61,2014-09-14,,,,,
Guinea,Confirmed,52,2014-09-14,,,,,
Guinea,Probable,8,2014-09-14,,,,,
Guinea,Suspected,1,2014-09-14,,,,,
Liberia,All,172,2014-09-14,,,,,
Liberia,Probable,85,2014-09-14,,,,,
Liberia,Confirmed,66,2014-09-14,,,,,
Liberia,Suspected,21,2014-09-14,,,,,
Nigeria,Confirmed,11,2014-09-14,,,,,
Nigeria,All,11,2014-09-14,,,,,
Nigeria,Probable,0,2014-09-14,,,,,
Nigeria,Suspected,0,2014-09-14,,,,,
Sierra Leone,All,74,2014-09-14,,,,,
Sierra Leone,Confirmed,71,2014-09-14,,,,,
Sierra Leone,Suspected,2,2014-09-14,,,,,
Sierra Leone,Probable,1,2014-09-14,,,,,
Guinea,All,67,2014-09-21,,,,,
Guinea,Confirmed,59,2014-09-21,,,,,
Guinea,Probable,8,2014-09-21,,,,,
Guinea,Suspected,0,2014-09-21,,,,,
Liberia,All,182,2014-09-21,,,,,
Liberia,Probable,85,2014-09-21,,,,,
Liberia,Confirmed,69,2014-09-21,,,,,
Liberia,Suspected,28,2014-09-21,,,,,
Nigeria,Confirmed,11,2014-09-21,,,,,
Nigeria,All,11,2014-09-21,,,,,
Nigeria,Probable,0,2014-09-21,,,,,
Nigeria,Suspected,0,2014-09-21,,,,,
Sierra Leone,All,113,2014-09-21,,,,,
Sierra Leone,Confirmed,110,2014-09-21,,,,,
Sierra Leone,Probable,2,2014-09-21,,,,,
Sierra Leone,Suspected,1,2014-09-21,,,,,
Guinea,All,67,2014-09-28,,,,,
Guinea,Confirmed,59,2014-09-28,,,,,
Guinea,Probable,8,2014-09-28,,,,,
Guinea,Suspected,0,2014-09-28,,,,,
Liberia,All,185,2014-09-28,,,,,
Liberia,Probable,88,2014-09-28,,,,,
Liberia,Confirmed,73,2014-09-28,,,,,
Liberia,Suspected,24,2014-09-28,,,,,
Nigeria,Confirmed,11,2014-09-28,,,,,
Nigeria,All,11,2014-09-28,,,,,
Nigeria,Probable,0,2014-09-28,,,,,
Nigeria,Suspected,0,2014-09-28,,,,,
Sierra Leone,All,114,2014-09-28,,,,,
Sierra Leone,Confirmed,111,2014-09-28,,,,,
Sierra Leone,Probable,2,2014-09-28,,,,,
Sierra Leone,Suspected,1,2014-09-28,,,,,
Guinea,All,76,2014-10-12,,,,,
Guinea,Confirmed,68,2014-10-12,,,,,
Guinea,Probable,8,2014-10-12,,,,,
Guinea,Suspected,0,2014-10-12,,,,,
Liberia,All,209,2014-10-12,,,,,
Liberia,Probable,96,2014-10-12,,,,,
Liberia,Confirmed,78,2014-10-12,,,,,
Liberia,Suspected,35,2014-10-12,,,,,
